,first_name,second_name,position,assists,goals_scored,total_points,threat_rank,influence_rank,creativity_rank,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,points_per_million
0,Mesut,Özil,MID,0,0,0,713,713,713,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,6.7,0.0
1,Sokratis,Papastathopoulos,DEF,0,0,0,667,682,674,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.8,0.0
2,David,Luiz Moreira Marinho,DEF,0,1,41,244,264,346,1396,20,46.7,250.6,144.0,0,230,43.9,3,1,1,5.4,7.592592592592592
3,Pierre-Emerick,Aubameyang,MID,3,10,131,34,136,101,2330,26,361.5,493.8,823.0,11,358,167.4,10,0,2,11.3,11.5929203539823
4,Cédric,Soares,DEF,1,0,28,330,366,249,744,11,114.8,110.8,66.0,3,125,29.2,2,0,1,4.6,6.086956521739131
5,Alexandre,Lacazette,FWD,3,13,129,38,69,133,1916,21,307.4,602.4,797.0,21,452,170.4,7,0,3,8.4,15.357142857142856
6,Shkodran,Mustafi,DEF,0,0,3,691,473,462,45,1,1.0,11.6,0.0,0,16,1.3,0,0,0,5.0,0.6
7,Bernd,Leno,GK,0,0,131,448,45,695,3131,37,0.0,702.2,2.0,11,625,70.3,11,1,0,5.0,26.2
8,Granit,Xhaka,MID,2,1,70,232,160,116,2519,27,327.6,456.0,154.0,1,396,94.0,10,1,7,5.2,13.461538461538462
9,Pablo,Marí,DEF,0,0,34,400,326,379,900,8,26.4,163.2,16.0,1,182,20.6,4,0,2,4.4,7.727272727272727
10,Héctor,Bellerín,DEF,3,1,94,170,204,107,2089,24,351.8,362.8,232.0,17,421,94.7,7,0,8,5.0,18.8
11,Calum,Chambers,DEF,3,0,36,320,313,209,751,10,169.4,171.8,77.0,3,168,41.9,2,0,0,4.5,8.0
12,Sead,Kolasinac,DEF,0,0,2,435,487,439,90,1,5.4,3.6,4.0,0,9,1.3,0,0,0,4.8,0.4166666666666667
13,Rob,Holding,DEF,1,0,105,288,68,314,2557,26,76.1,602.6,97.0,10,536,77.7,11,0,2,4.3,24.41860465116279
14,Kieran,Tierney,DEF,4,1,96,187,165,61,2299,27,490.1,446.4,201.0,4,483,113.9,8,0,4,5.2,18.46153846153846
15,Nicolas,Pépé,MID,3,10,114,39,148,175,1606,21,235.9,476.2,774.0,11,351,148.5,4,1,1,7.7,14.805194805194805
16,Lucas,Torreira,MID,0,0,0,662,677,669,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,0.0
17,Reiss,Nelson,MID,0,0,2,412,485,425,70,0,9.7,4.2,10.0,0,2,2.4,0,0,0,5.1,0.3921568627450981
18,Edward,Nketiah,FWD,1,2,36,181,359,276,411,6,97.3,116.6,211.0,5,120,42.1,1,0,0,5.3,6.7924528301886795
